Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
PPR|CA|PRAIRIE PROVIDEN|PPR.TO|-0.62|0.00|0.00|-0.0|-0.0|0.02|0.03|0.02|"1|000.00"|8.00|"2|530.00"|0.02|0.05|0.05|0.03|0.02|0.01|0.02|-||0.02|TOR||3.44|"172|065|000.00"|"2|114|326.00"|"300|583.97"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|-|-|53.00|þ||0.01||
PRK|US|PARK NATIONAL|PRK|6.50|16.95|3.70|1.6245|1.79|111.98|112.50|106.00|0.00|1.00|1.00|110.19|48.44|112.97|112.08|109.29|64.53|110.00|-|0.43|109.25|ASQ||"1|797.66"|"17|636|621.00"|"31|553.00"|"95|813.12"|0.00||-|-|-|-|-|-|-|-|-|||USD|R|4.08|12/10/2020|11/19/2020|-|722.00|þ||2.79||
PRQ|CA|PETRUS RESOURCES|PRQ.TO|-2.04|0.00|0.00|6.12|0.015|0.26|0.28|0.27|"1|500.00"|12.00|9.00|0.24|0.23|0.28|0.27|0.25|0.06|0.25|-||0.27|TOR||12.12|"49|469|358.00"|"53|600.00"|"19|626.47"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|-|-|10.00|þ||0.02||
PRU|CA|PERSEUS MNG|PRU.TO|0.08|15.98|0.00|-0.83|-0.01|1.20|1.21|1.20|300.00|100.00|8.00|1.21|1.07|1.52|1.21|1.20|0.45|1.21|-||1.21|TOR||"1|465.14"|"1|168|055|480.00"|"4|156.00"|"51|464.29"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|07/25/2016|-|-|14.00|þ||0.01||
PSD|CA|PULSE SEISMIC|PSD.TO|-0.15|0.00|0.00|1.94|0.02|1.05|1.05|0.94|100.00|39.00|234.00|1.03|1.39|2.00|1.05|0.94|0.61|1.01|-||0.99|TOR||55.41|"53|793|317.00"|"26|200.00"|"43|047.75"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|12/08/2017|11/15/2017|-|23.00|Þ||0.11||
PSI|CA|PASON SYS|PSI.TO|0.23|37.56|2.35|4.35|0.37|8.87|8.94|8.81|100.00|4.00|1.00|8.50|9.34|14.08|8.91|8.49|4.74|8.60|-||8.88|TOR||707.25|"83|205|341.00"|"780|424.00"|"312|703.01"|"495|800.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.20|12/30/2020|12/15/2020|-|"1|799.00"|þ||0.42||
PSK|CA|PRAIRIESKY ROYAL|PSK.TO|0.18|59.35|2.25|4.4|0.47|11.15|11.22|11.00|100.00|4.00|4.00|10.68|9.53|15.77|11.20|10.66|6.24|10.66|-||11.11|TOR||"2|384.84"|"223|300|000.00"|"479|654.00"|"586|133.81"|"46|300.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.24|01/15/2021|12/30/2020|-|"2|704.00"|Þ||0.54||
PTM|CA|PLATINUM GRP ORD|PTM.TO|-0.15|0.00|0.00|2.58|0.16|6.37|6.40|6.37|100.00|13.00|1.00|6.21|6.75|8.00|6.37|6.09|1.25|6.16|-||6.38|TOR||440.35|"70|909|323.00"|"132|122.00"|"98|182.02"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|12/17/2018|12/17/2018|-|614.00|Þ||0.28||
PTS|CA|POINTS INTL|PTS.TO|-0.20|0.00|0.00|-7.18|-1.47|18.99|19.28|18.60|100.00|2.00|1.00|20.46|15.90|25.20|20.25|18.96|9.30|20.13|-||18.94|TOR||270.63|"13|227|407.00"|869.00|"2|573.69"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|02/02/2011|02/02/2011|-|10.00|Þ||1.29||
PVG|CA|PRETIUM RESOURCS|PVG.TO|0.64|21.91|0.00|-0.86|-0.12|13.84|13.93|13.80|300.00|3.00|3.00|13.96|12.88|19.13|14.02|13.56|6.25|13.96|-||13.87|TOR||"2|634.67"|"187|253|743.00"|"380|824.00"|"543|113.84"|"13|800.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|-|-|"2|418.00"|Þ||0.46||
