Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
AAO|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
AVE|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
CBE|CA|CABO DRILLING|CBE.V|0.00|0.00|0.00|0.0|0.0|0.01|0.00|0.00|0.00|0.00|0.00|0.01|0.00|0.01|0.00|0.00|0.01|0.00|-||0.00|   ||1.28|"93|868|175.00"|0.00|0.00|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|01/05/2004|01/05/2004|-|0.00| ||0.00||
CKK|CA|CORDY OILFIELD|CKK.V|0.00|0.00|0.00|33.33|0.005|0.02|0.02|0.01|"39|000.00"|"1|721.00"|"2|164.00"|0.01|0.02|0.03|0.02|0.02|0.01|0.02|-||0.02|   ||3.47|"231|161|981.00"|"40|000.00"|"261|154.13"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|09/22/2016|-|2.00|Þ||0.00||
CVR|CA|CAN OIL RC & REM|CVR.V|0.00|0.00|0.00|0.0|0.0|0.01|0.01|0.01|0.00|29.00|187.00|0.01|0.00|0.01|0.00|0.00|0.01|0.00|-||0.01|   ||0.77|"169|665|746.00"|0.00|0.00|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|06/30/2008|06/30/2008|-|0.00| ||0.00||
CWC|CA|CWC ENERGY SERVI|CWC.V|-0.05|0.00|0.00|9.09|0.01|0.12|0.14|0.12|"12|500.00"|29.00|55.00|0.11|0.13|0.18|0.13|0.12|0.05|0.12|-||0.13|   ||55.62|"505|620|916.00"|"319|580.00"|"43|214.38"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|11/14/2017|11/14/2017|-|19.00|Þ||0.01||
DAL.V|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
DVG|CA|DIVERGENT ENERGY|DVG.V|-0.02|0.00|0.00|-0.0|-0.0|0.01|0.01|0.01|"15|000.00"|"2|013.00"|"1|628.00"|0.01|0.02|0.03|0.01|0.01|0.01|0.01|-||0.01|   ||2.60|"171|805|697.00"|"141|603.00"|"241|502.09"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|02/03/2003|02/03/2003|-|9.00|Þ||0.00||
DVT|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
EGD|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
