Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
ADL|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
AE|US|ADAMS RES & ENER|AE|-0.53|0.00|4.10|4.4872|1.05|24.45|0.00|20.76|0.00|0.00|4.00|23.40|24.24|39.40|24.45|23.32|15.16|23.53|-|0.00|10.38|ASQ||99.27|"4|242|284.00"|"9|705.00"|"7|348.52"|0.00||-|-|-|-|-|-|-|-|-|||USD|R|0.96|12/18/2020|12/03/2020|-|317.00|Þ||1.13||
AFE|CA|AFRICA ENERGY CO|AFE.V|-0.01|0.00|0.00|-0.0|-0.0|0.35|0.35|0.35|500.00|236.00|53.00|0.35|0.46|0.61|0.36|0.34|0.14|0.35|-||0.35|   ||491.41|"1|393|033|039.00"|"128|716.00"|"113|023.68"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|09/23/2011|09/23/2011|-|31.00|þ||0.02||
AHU|CA|ARCTIC HUNTER EN|AHU.V|-0.02|0.00|0.00|-0.0|-0.0|0.16|0.17|0.14|"2|500.00"|65.00|36.00|0.16|0.25|0.27|0.16|0.16|0.02|0.16|-||0.16|   ||4.44|"27|723|671.00"|"2|500.00"|"53|100.41"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|11/23/2016|11/23/2016|-|1.00| ||0.00||
ALV|CA|ALVOPETRO ENERGY|ALV.V|0.03|29.58|0.00|-0.0|-0.0|0.74|0.75|0.71|"8|000.00"|16.00|2.00|0.74|0.47|0.95|0.76|0.74|0.48|0.74|-||0.73|   ||74.31|"99|629|039.00"|"18|500.00"|"33|488.56"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|4.00|þ||0.02||
ARH|CA|ALTIMA RESOURCES|ARH.V|-0.01|0.00|0.00|33.33|0.01|0.04|0.04|0.03|"2|000.00"|1.00|60.00|0.03|0.02|0.04|0.04|0.03|0.02|0.03|-||0.04|   ||0.63|"34|474|949.00"|"26|266.00"|"6|885.40"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|04/13/2017|04/13/2017|-|6.00|Þ||0.01||
ATU|CA|ALTURA ENERGY IN|ATU.V|-0.30|0.00|0.00|3.45|0.005|0.15|0.16|0.14|"3|000.00"|27.00|23.00|0.14|0.25|0.36|0.15|0.14|0.11|0.14|-||0.15|   ||15.79|"108|920|974.00"|"124|000.00"|"50|434.53"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|10/19/2015|10/19/2015|-|11.00|Þ||0.01||
AVN|CA|AVANTI ENRGY INC|AVN.V|0.00|0.00|0.00|0.0|0.0|0.41|0.58|0.41|0.00|22.00|21.00|0.41|0.46|0.54|0.00|0.00|0.09|0.00|-||0.49|   ||4.53|"11|050|184.00"|0.00|"11|166.81"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|12/11/2020|12/11/2020|-|0.00| ||0.00||
BBI|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
BEY|CA|BLACKSTEEL ENRGY|BEY.V|-0.03|0.00|0.00|0.0|0.0|0.21|0.00|0.00|0.00|0.00|0.00|0.21|0.00|0.21|0.00|0.00|0.21|0.00|-||0.00|   ||7.30|"36|227|416.00"|0.00|0.00|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|01/12/2010|01/12/2010|-|0.00| ||0.00||
null|CA|BLACKHAWK GR ORD|BLR.NLB|0.00|0.00|0.00|-0.0|-0.0|0.36|0.00|0.00|"2|500.00"|0.00|0.00|0.36|0.00||0.37|0.36||0.37|-||0.00|-||5.43|"15|963|278.00"|"5|000.00"|"3|711.23"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|3.00|þ||0.01||
BOR|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
BRS|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
BSH|CA|BAYSHORE PETRO|BSH.V|-0.01|0.00|0.00|-14.29|-0.005|0.03|0.06|0.03|"17|000.00"|34.00|140.00|0.04|0.04|0.06|0.04|0.03|0.01|0.04|-||0.04|   ||2.91|"83|260|815.00"|"126|000.00"|"13|017.45"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|5.00|þ||0.01||
