Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
AMM|CA|ALMADEN MNRLS|AMM.TO|-0.03|0.00|0.00|10.61|0.07|0.73|0.74|0.73|500.00|8.00|3.00|0.66|1.29|1.60|0.79|0.65|0.31|0.65|-||0.73|TOR||79.56|"120|548|611.00"|"199|776.00"|"157|974.52"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|08/10/2015|08/10/2015|-|233.00|þ||0.14||
AOI|CA|AFRICA OIL CORP|AOI.TO|-0.69|0.00|0.00|2.46|0.03|1.25|1.30|1.24|300.00|173.00|3.00|1.22|0.95|1.66|1.25|1.19|0.71|1.19|-||1.27|TOR||580.33|"471|960|472.00"|"57|548.00"|"78|240.12"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|09/22/1999|09/22/1999|-|76.00|Þ||0.06||
APO|US|APOLLO GB MGT A|APO|-0.82|0.00|4.87|-1.0114|-0.48|46.98|47.80|46.50|0.00|5.00|3.00|47.46|35.92|55.38|47.71|46.76|19.46|47.65|-|0.41|47.15|NYQ||"20|713.52"|"228|747|302.00"|"839|371.00"|"1|266|469.28"|"134|205.00"||-|-|-|-|-|-|-|-|-|||USD|R|2.31|11/30/2020|11/19/2020|-|"9|344.00"|þ||0.95||
APS|CA|APTOSE BIOSCIENC|APS.TO|-0.68|0.00|0.00|-4.37|-0.26|5.69|5.79|5.65|100.00|6.00|9.00|5.95|7.62|12.62|5.98|5.65|5.00|5.90|-||5.72|TOR||532.90|"88|861|737.00"|"31|202.00"|"39|289.10"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|10/06/2014|10/06/2014|-|211.00|Þ||0.33||
APY|CA|ANGLO PACIFIC GR|APY.TO|-0.12|0.00|0.00|2.0|0.05|2.55|2.55|2.50|100.00|5.00|1.00|2.50|1.50|3.25|2.65|2.55|1.75|2.65|-||2.52|TOR||229.91|"177|129|016.00"|"4|639.00"|"1|543.50"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|02/17/2021|01/07/2021|-|5.00|þ||0.10||
ARG|CA|AMERIGO RSRCS|ARG.TO|-0.01|0.00|0.00|2.44|0.02|0.84|0.85|0.83|500.00|10.00|15.00|0.82|0.80|0.92|0.87|0.82|0.12|0.85|-||0.84|TOR||149.40|"180|769|351.00"|"191|204.00"|"139|262.51"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|11/29/2012|11/15/2012|-|82.00|Þ||0.05||
ARS|CA|ARES STRTGIC ORD|ARS.V|-0.06|0.00|0.00|15.38|0.08|0.60|0.60|0.59|"6|000.00"|41.00|10.00|0.52|0.53|0.60|0.64|0.53|0.07|0.53|-||0.59|   ||44.76|"86|067|782.00"|"741|818.00"|"273|755.37"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|03/28/2018|03/28/2018|-|178.00|Þ||0.11||
ASM|CA|AVINO SILV GOLD|ASM.TO|-0.09|0.00|0.00|3.21|0.05|1.61|1.63|1.56|700.00|7.00|1.00|1.56|1.77|2.04|1.61|1.52|0.27|1.54|-||1.59|TOR||140.83|"89|582|862.00"|"105|909.00"|"141|737.07"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|05/12/1995|05/12/1995|-|318.00|Þ||0.09||
ASR.TO|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
ATE.V|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
