Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
AAR|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
ACR|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
AP|US|AMPCO PITTSBURGH|AP|0.69|10.61|0.00|0.4087|0.03|7.37|10.50|7.16|0.00|1.00|3.00|7.34|5.80|7.74|7.64|7.20|1.94|7.30|-|0.71|8.83|NYQ||134.41|"18|311|740.00"|"117|162.00"|"118|218.65"|0.00||-|-|-|-|-|-|-|-|-|||USD|R|0.00|-|08/14/2020|-|982.00|þ||0.44||
APR|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
AX|US|AXOS FINANCL INC|AX|3.19|13.21|0.00|0.6171|0.26|42.39|42.79|36.30|0.00|1.00|1.00|42.13|28.48|42.17|43.48|42.28|13.69|42.36|-|0.43|39.55|NYQ||"2|487.58"|"67|452|262.00"|"372|112.00"|"307|477.84"|"73|920.00"||-|-|-|-|-|-|-|-|-|||USD|R|0.00|11/17/2015|11/18/2015|-|"3|928.00"|þ||1.20||
BBU|US|BROOKFLD BUSINES|BBU|-2.39|0.00|0.66|1.8312|0.69|38.37|0.00|0.00|0.00|0.00|0.00|37.68|28.28|46.88|38.37|37.69|18.60|37.81|-|0.35|0.00|NYQ||"7|275.13"|"79|913|229.00"|"9|641.00"|"28|342.16"|0.00||-|-|-|-|-|-|-|-|-|||USD|R|0.25|12/31/2020|11/27/2020|-|166.00|Þ||0.68||
BEI|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
BEK|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
BPO|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
BPY|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
