Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
ADK|CA|DIAGNOS INC|ADK.V|-0.05|0.00|0.00|1.47|0.01|0.69|0.70|0.68|"1|000.00"|5.00|11.00|0.68|0.61|0.75|0.74|0.69|0.14|0.71|-||0.69|   ||44.63|"65|625|925.00"|"139|995.00"|"216|910.93"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|04/24/2019|04/24/2019|-|47.00|þ||0.05||
AKR|CA|ACKROO INC|AKR.V|-0.02|0.00|0.00|18.92|0.035|0.22|0.22|0.21|"6|500.00"|2.00|29.00|0.18|0.13|0.20|0.23|0.19|0.07|0.19|-||0.22|   ||18.96|"102|488|269.00"|"1|379|514.00"|"67|129.98"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|12/09/2014|12/09/2014|-|103.00|Þ||0.04||
ALY|CA|ANALYTIXINSIGHT|ALY.V|-0.02|0.00|0.00|3.3|0.03|0.94|0.95|0.93|"1|000.00"|29.00|41.00|0.91|0.74|0.95|0.95|0.91|0.21|0.91|-||0.94|   ||73.82|"81|122|549.00"|"88|526.00"|"115|275.17"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|07/11/2013|07/11/2013|-|39.00|þ||0.04||
ARD|CA|ARMADA DATA CORP|ARD.V|0.01|17.80|0.00|0.0|0.0|0.18|0.19|0.17|0.00|12.00|1.00|0.18|0.15|0.20|0.00|0.00|0.04|0.00|-||0.18|   ||3.18|"17|670|265.00"|0.00|"26|962.57"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|11/04/2011|10/19/2011|-|0.00| ||0.00||
ART|CA|ARHT MEDIA INC|ART.V|-0.04|0.00|0.00|-0.0|-0.0|0.27|0.28|0.26|"2|000.00"|36.00|52.00|0.27|0.94|1.00|0.28|0.24|0.06|0.28|-||0.27|   ||25.03|"92|694|251.00"|"396|111.00"|"787|733.95"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|11/30/2017|11/30/2017|-|108.00|þ||0.03||
AT|CA|ACUITYDS HLD INC|AT.TO|0.03|506.14|0.00|1.73|0.3|17.61|17.64|17.58|200.00|2.00|40.00|17.31|21.72|22.44|17.95|17.37|0.72|17.37|-||17.61|TOR||914.02|"52|802|887.00"|"592|094.00"|"803|551.15"|"17|300.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|07/22/2014|07/22/2014|-|"2|341.00"|Þ||0.58||
ATW|CA|ATW TECH INC|ATW.V|0.00|0.00|0.00|-0.0|-0.0|0.04|0.04|0.04|"14|000.00"|24.00|397.00|0.04|0.07|0.07|0.04|0.04|0.01|0.04|-||0.04|   ||7.28|"208|026|784.00"|"23|000.00"|"108|290.41"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|12/11/2012|12/11/2012|-|2.00| ||0.00||
AWI|CA|ADVENT-AWI HLDGS|AWI.V|0.08|10.81|0.00|0.0|0.0|0.90|1.01|0.91|0.00|3.00|26.00|0.90|0.42|1.15|0.00|0.00|0.73|0.00|-||0.96|   ||11.58|"11|935|513.00"|0.00|615.34|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|06/25/2020|06/10/2020|-|0.00| ||0.00||
AXE|CA|ACCELEWARE LTD|AXE.V|-0.02|0.00|0.00|10.64|0.025|0.26|0.27|0.25|500.00|61.00|2.00|0.23|0.24|0.28|0.27|0.26|0.04|0.27|-||0.26|   ||24.83|"105|669|170.00"|"58|949.00"|"31|622.18"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|10.00|þ||0.01||
AXV|CA|AXION VENTURES|AXV.V|0.00|0.00|0.00|0.0|0.0|0.20|0.00|0.00|0.00|0.00|0.00|0.20|0.25|0.35|0.00|0.00|0.10|0.00|-||0.00|   ||49.52|"245|642|076.00"|0.00|"3|293.46"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|0.00| ||0.00||
